X,Y,FID,OBJECTID,RANK,Company,ADDRESS,ADDRESS2,City,State,ZIP,COUNTY,EMPLOYEES,REVENUES,LATITUDE,LONGITUDE,SOURCE,PRC,COUNTYFIPS,COMMENTS,WEBSITE,PROFIT
-80.26355,36.18974,149,149,432,Hanesbrands,1000 EAST HANES MILL ROAD,NOT AVAILABLE,Winston-Salem,NC,27105,FORSYTH,67800,6063,36.18974,-80.26355,BING MAPS,ADDRESS,37067,NOT AVAILABLE,HTTPS://WWW.HANES.COM/CORPORATE,539.4
-83.10936,39.95917,150,150,495,Big Lots,300 PHILLIPI ROAD,NOT AVAILABLE,Columbus,OH,43228,FRANKLIN,23150,5200,39.95917,-83.10936,BING MAPS,ADDRESS,39049,NOT AVAILABLE,HTTP://WWW.BIGLOTS.COM/,152.8
-83.12077,40.10899,151,151,15,Cardinal Health,7000 CARDINAL PLACE,NOT AVAILABLE,Dublin,OH,43017,FRANKLIN,37300,121546,40.10899,-83.12077,BING MAPS,ADDRESS,39049,NOT AVAILABLE,HTTPS://WWW.CARDINALHEALTH.COM/EN.HTML,1427
-83.00596,39.96514,152,152,167,American Electric Power,1 RIVERSIDE PLAZA,NOT AVAILABLE,Columbus,OH,43215,FRANKLIN,17634,16380,39.96514,-83.00596,BING MAPS,ADDRESS,39049,NOT AVAILABLE,HTTPS://WWW.AEP.COM/,610.9
-83.00345,39.96857,153,153,68,Nationwide,1 NATIONWIDE BOULEVARD,NOT AVAILABLE,Columbus,OH,43215,FRANKLIN,34320,40074,39.96857,-83.00345,BING MAPS,ADDRESS,39049,NOT AVAILABLE,HTTPS://WWW.NATIONWIDE.COM/,334.3
-82.89613,40.05448,154,154,220,L Brands,3 LIMITED PARKWAY,NOT AVAILABLE,Columbus,OH,43230,FRANKLIN,59100,12574,40.05448,-82.89613,BING MAPS,ADDRESS,39049,NOT AVAILABLE,HTTPS://WWW.LB.COM/,1158.1
-84.3547,33.93467,155,155,331,Veritiv,1000 ABERNATHY ROAD,SUITE 1700,Atlanta,GA,30328,FULTON,8700,8327,33.93467,-84.3547,BING MAPS,ADDRESS,13121,NOT AVAILABLE,HTTPS://WWW.VERITIVCORP.COM/,21
-84.09278,34.00499,156,156,410,Asbury Automotive Group,2905 PREMIERE PARKWAY NW,NOT AVAILABLE,Duluth,GA,30097,FULTON,7900,6528,34.00499,-84.09278,BING MAPS,ADDRESS,13121,NOT AVAILABLE,HTTPS://WWW.ASBURYAUTO.COM/,167.2
-84.38826,33.76434,157,157,145,Southern,30 IVAN ALLEN JR. BOULEVARD NW,NOT AVAILABLE,Atlanta,GA,30308,FULTON,32015,19896,33.76434,-84.38826,BING MAPS,ADDRESS,13121,NOT AVAILABLE,HTTPS://WWW.SOUTHERNCOMPANY.COM,2448
-84.38652,33.76286,158,158,303,Suntrust Banks,303 PEACHTREE STREET NE,NOT AVAILABLE,Atlanta,GA,30308,FULTON,24375,9161,33.76286,-84.38652,BING MAPS,ADDRESS,13121,NOT AVAILABLE,HTTPS://WWW.SUNTRUST.COM/,1878
-84.39629,33.77128,159,159,64,Coca-Cola,1 COCA-COLA PLAZA,NOT AVAILABLE,Atlanta,GA,30313,FULTON,100300,41863,33.77128,-84.39629,BING MAPS,ADDRESS,13121,NOT AVAILABLE,HTTP://WWW.COCA-COLA.COM/GLOBAL/,6527
-84.43108,33.90902,160,160,437,Intercontinental Exchange,5660 NEW NORTHSIDE DRIVE NW,FLOOR 3,Atlanta,GA,30328,FULTON,5631,5958,33.90902,-84.43108,BING MAPS,ADDRESS,13121,NOT AVAILABLE,HTTPS://WWW.INTERCONTINENTALEXCHANGE.COM/INDEX,1422
-74.027717,40.738661,161,161,208,Newell Brands,221 RIVER STREET,NOT AVAILABLE,Hoboken,NJ,7030,HUDSON,53400,13264,40.738661,-74.027717,MANUAL,ON-ENTITY,34121,NOT AVAILABLE,HTTPS://WWW.NEWELLBRANDS.COM/,527.8
-84.36142,33.94199,162,162,46,Ups,55 GLENLAKE PARKWAY NE,NOT AVAILABLE,Atlanta,GA,30328,FULTON,335520,60906,33.94199,-84.36142,BING MAPS,ADDRESS,13121,NOT AVAILABLE,HTTPS://WWW.UPS.COM/US/EN/GLOBAL.PAGE,3431
-84.36033,33.90543,163,163,242,First Data,5565 GLENRIDGE CONNECTOR NE,NOT AVAILABLE,Atlanta,GA,30342,FULTON,24000,11584,33.90543,-84.36033,BING MAPS,ADDRESS,13121,NOT AVAILABLE,HTTPS://WWW.FIRSTDATA.COM/EN_US/HOME.HTML,420
-84.42315,33.6564,164,164,71,Delta Air Lines,1030 DELTA BOULEVARD,NOT AVAILABLE,Atlanta,GA,30354,FULTON,83756,39639,33.6564,-84.42315,BING MAPS,ADDRESS,13121,NOT AVAILABLE,HTTPS://WWW.DELTA.COM,4373
-77.67067,37.63877,165,165,174,Carmax,12800 TUCKAHOE CREEK PARKWAY,NOT AVAILABLE,Richmond,VA,23238,GOOCHLAND,22429,15833,37.63877,-77.67067,BING MAPS,ADDRESS,51075,NOT AVAILABLE,HTTPS://WWW.CARMAX.COM/,623.4
-84.93784,34.47421,166,166,311,Mohawk Industries,160 SOUTH INDUSTRIAL BOULEVARD,NOT AVAILABLE,Calhoun,GA,30701,GORDON,37800,8959,34.47421,-84.93784,BING MAPS,ADDRESS,13129,NOT AVAILABLE,HTTPS://MOHAWKIND.COM/,930.4
-93.24937,37.20792,167,167,323,O'Reilly Automotive,233 SOUTH PATTERSON AVENUE,NOT AVAILABLE,Springfield,MO,65802,GREENE,58397,8593,37.20792,-93.24937,BING MAPS,ADDRESS,29077,NOT AVAILABLE,HTTPS://MOHAWKIND.COM/,1037.7
-79.79907,36.12171,168,168,230,Vf,105 CORPORATE CENTER BOULEVARD,NOT AVAILABLE,Greensboro,NC,27408,GUILFORD,69000,12207,36.12171,-79.79907,BING MAPS,ADDRESS,37081,NOT AVAILABLE,HTTPS://WWW.VFC.COM/,1074.1
-84.22019,33.93671,169,169,190,Westrock,504 THRASHER STREET,NOT AVAILABLE,Norcross,GA,30071,GWINNETT,39000,14706,33.93671,-84.22019,BING MAPS,ADDRESS,13135,NOT AVAILABLE,HTTPS://WWW.WESTROCK.COM/EN,-396.3
-84.16473,34.01785,170,170,370,Agco,4205 RIVER GREEN PARKWAY,NOT AVAILABLE,Duluth,GA,30096,GWINNETT,19795,7411,34.01785,-84.16473,BING MAPS,ADDRESS,13135,NOT AVAILABLE,HTTP://WWW.AGCOCORP.COM/,160.1
-84.389521,33.779256,171,171,409,Ncr,864 SPRING STREET NW,NOT AVAILABLE,Atlanta,GA,30308,FULTON,33500,6543,33.779256,-84.389521,MANUAL,ON-ENTITY,13135,NOT AVAILABLE,HTTPS://WWW.NCR.COM/,270
-85.30727,35.04977,172,172,258,Unum Group,1 FOUNTAIN SQUARE,NOT AVAILABLE,Chattanooga,TN,37402,HAMILTON,9400,11047,35.04977,-85.30727,BING MAPS,ADDRESS,47065,NOT AVAILABLE,HTTPS://WWW.UNUM.COM/,931.4
-84.50718,39.10012,173,173,411,American Financial Group,301 EAST 4TH STREET,NOT AVAILABLE,Cincinnati,OH,45202,HAMILTON,7600,6498,39.10012,-84.50718,BING MAPS,ADDRESS,39061,NOT AVAILABLE,HTTPS://WWW.AFGINC.COM/INDEX,649
-84.51422,39.10673,174,174,18,Kroger,1014 VINE STREET,NOT AVAILABLE,Cincinnati,OH,45202,HAMILTON,443000,115337,39.10673,-84.51422,BING MAPS,ADDRESS,39061,NOT AVAILABLE,HTTPS://WWW.KROGER.COM/,1975
-84.51413,39.10325,175,175,110,Macy'S,7 WEST 7TH STREET,NOT AVAILABLE,Cincinnati,OH,45202,HAMILTON,148300,25778,39.10325,-84.51413,BING MAPS,ADDRESS,39061,NOT AVAILABLE,HTTPS://WWW.MACYS.COM/,619
-84.50607,39.10113,176,176,483,Western & Southern Financial Group,400 BROADWAY,NOT AVAILABLE,Cincinnati,OH,45202,HAMILTON,2178,5398,39.10113,-84.50607,BING MAPS,ADDRESS,39061,NOT AVAILABLE,HTTPS://WWW.WESTERNSOUTHERN.COM/,241.2
-84.51246,39.10115,177,177,389,Fifth Third Bancorp,38 FOUNTAIN SQUARE PLAZA,NOT AVAILABLE,Cincinnati,OH,45263,HAMILTON,17844,6889,39.10115,-84.51246,BING MAPS,ADDRESS,39061,NOT AVAILABLE,HTTPS://WWW.53.COM/CONTENT/FIFTH-THIRD/EN.HTML,1564
-72.547416,42.151263,178,178,358,Eversource Energy,300 CADWELL DRIVE,NOT AVAILABLE,Springfield,MA,1104,HAMPDEN,7762,7639,42.151263,-72.547416,MANUAL,ON-ENTITY,25013,NOT AVAILABLE,HTTPS://WWW.EVERSOURCE.COM/CONTENT,942.3
-72.5481,42.11747,179,179,77,Massachusetts Mutual Life Insurance,1295 STATE STREET,NOT AVAILABLE,Springfield,MA,1111,HAMPDEN,11737,37788,42.11747,-72.5481,BING MAPS,ADDRESS,25013,NOT AVAILABLE,HTTPS://WWW.MASSMUTUAL.COM/,1273.5
-83.64974,41.03602,180,180,51,Marathon Petroleum,539 SOUTH MAIN STREET,NOT AVAILABLE,Findlay,OH,45840,HANCOCK,44460,55858,41.03602,-83.64974,BING MAPS,ADDRESS,39063,NOT AVAILABLE,HTTP://WWW.MARATHONPETROLEUM.COM/,1174
-77.40796,37.64496,181,181,288,Owens & Minor,9120 LOCKWOOD BOULEVARD,NOT AVAILABLE,Mechanicsville,VA,23116,HANOVER,7900,9723,37.64496,-77.40796,BING MAPS,ADDRESS,51085,NOT AVAILABLE,HTTPS://WWW.OWENS-MINOR.COM/,108.8
-95.36438,29.7614,182,182,400,Calpine,717 TEXAS AVENUE,NOT AVAILABLE,Houston,TX,77002,HARRIS,2372,6716,29.7614,-95.36438,BING MAPS,ADDRESS,48201,NOT AVAILABLE,HTTP://WWW.CALPINE.COM/,92
-95.368,29.75714,183,183,362,Centerpoint Energy,1111 LOUISIANA STREET,NOT AVAILABLE,Houston,TX,77002,HARRIS,7727,7528,29.75714,-95.368,BING MAPS,ADDRESS,48201,NOT AVAILABLE,HTTPS://WWW.CENTERPOINTENERGY.COM/EN-US/,432
-95.36883,29.75765,184,184,122,Enterprise Products Partners,1100 LOUISIANA STREET,NOT AVAILABLE,Houston,TX,77002,HARRIS,6800,23022,29.75765,-95.36883,BING MAPS,ADDRESS,48201,NOT AVAILABLE,HTTPS://WWW.ENTERPRISEPRODUCTS.COM/,2513.1
-95.37054,29.75867,185,185,356,Eog Resources,1111 BABGY STREET,LOBBY 2,Houston,TX,77002,HARRIS,2650,7651,29.75867,-95.37054,BING MAPS,ADDRESS,48201,NOT AVAILABLE,HTTP://WWW.EOGRESOURCES.COM/,-1096.7
-95.36738,29.75788,186,186,215,Kinder Morgan,1001 LOUISIANA STREET,NOT AVAILABLE,Houston,TX,77002,HARRIS,11121,13058,29.75788,-95.36738,BING MAPS,ADDRESS,48201,NOT AVAILABLE,HTTPS://WWW.KINDERMORGAN.COM/,708
-117.87727,33.619382,187,187,302,Pacific Life,700 NEWPORT CENTER DRIVE,NOT AVAILABLE,Newport Beach,CA,92660,ORANGE,3628,9169,33.619382,-117.87727,MANUAL,ON-ENTITY,6201,NOT AVAILABLE,HTTPS://WWW.PACIFICLIFE.COM/,824
-95.37175,29.75729,188,188,141,Plains Gp Holdings,333 CLAY STREET,SUITE 1600,Houston,TX,77002,HARRIS,5100,20182,29.75729,-95.37175,BING MAPS,ADDRESS,48201,NOT AVAILABLE,HTTP://IR.PAGP.COM/,94
-95.3684,29.75849,189,189,402,Targa Resources,1000 LOUISIANA STREET,SUITE 4300,Houston,TX,77002,HARRIS,1970,6691,29.75849,-95.3684,BING MAPS,ADDRESS,48201,NOT AVAILABLE,HTTP://WWW.TARGARESOURCES.COM/,-187.3
-95.36391,29.75579,190,190,201,Waste Management,1001 FANNIN STREET,NOT AVAILABLE,Houston,TX,77002,HARRIS,41200,13609,29.75579,-95.36391,BING MAPS,ADDRESS,48201,NOT AVAILABLE,HTTPS://WWW.WM.COM/US,1182
-95.3959,29.76129,191,191,285,Baker Hughes,2929 ALLEN PARKWAY,NOT AVAILABLE,Houston,TX,77019,HARRIS,33000,9841,29.76129,-95.3959,BING MAPS,ADDRESS,48201,NOT AVAILABLE,HTTPS://WWW.BAKERHUGHES.COM/,-2738
-95.54393,29.77744,192,192,261,Group 1 Automotive,800 GESSNER ROAD,NOT AVAILABLE,Houston,TX,77024,HARRIS,13500,10888,29.77744,-95.54393,BING MAPS,ADDRESS,48201,NOT AVAILABLE,HTTPS://WWW.GROUP1AUTO.COM/,147.1
-95.34107,29.9364,193,193,173,Halliburton,3000 NORTH SAM HOUSTON PARKWAY EAST,NOT AVAILABLE,Houston,TX,77032,HARRIS,50000,15887,29.9364,-95.34107,BING MAPS,ADDRESS,48201,NOT AVAILABLE,HTTP://WWW.HALLIBURTON.COM/EN-US/DEFAULT.PAGE,-5763
-95.5543,29.69082,194,194,375,National Oilwell Varco,7909 PARKWOOD CIRCLE DRIVE,NOT AVAILABLE,Houston,TX,77036,HARRIS,36384,7251,29.69082,-95.5543,BING MAPS,ADDRESS,48201,NOT AVAILABLE,HTTPS://WWW.NOV.COM/,-2412
-95.560908,29.740913,195,195,34,Phillips 66,2331 CITYWEST BOULEVARD,NOT AVAILABLE,Houston,TX,77042,HARRIS,14800,72396,29.740913,-95.560908,MANUAL,ON-ENTITY,48201,NOT AVAILABLE,HTTP://WWW.PHILLIPS66.COM/,1555
-95.46266,29.74464,196,196,488,Apache,2000 POST OAK BOULEVARD,NOT AVAILABLE,Houston,TX,77056,HARRIS,3727,5354,29.74464,-95.46266,BING MAPS,ADDRESS,48201,NOT AVAILABLE,HTTP://WWW.APACHECORP.COM/,-1405
-95.46125,29.73599,197,197,355,Quanta Services,2800 POST OAK BOULEVARD,SUITE 2600,Houston,TX,77056,HARRIS,28100,7651,29.73599,-95.46125,BING MAPS,ADDRESS,48201,NOT AVAILABLE,HTTP://WWW.QUANTASERVICES.COM/,198.4
-95.62004,29.75826,198,198,57,Sysco,1390 ENCLAVE PARKWAY,NOT AVAILABLE,Houston,TX,77077,HARRIS,51900,50367,29.75826,-95.62004,BING MAPS,ADDRESS,48201,NOT AVAILABLE,HTTPS://WWW.SYSCO.COM/,949.6
-95.61758,29.78758,199,199,115,Conocophillips,600 NORTH DAIRY ASHFORD STREET,NOT AVAILABLE,Houston,TX,77079,HARRIS,13300,24360,29.78758,-95.61758,BING MAPS,ADDRESS,48201,NOT AVAILABLE,HTTP://WWW.CONOCOPHILLIPS.COM/,-3615
-72.73874,41.81703,200,200,70,Cigna,900 COTTAGE GROVE ROAD,NOT AVAILABLE,Bloomfield,CT,6002,HARTFORD,41000,39668,41.81703,-72.73874,BING MAPS,ADDRESS,9003,NOT AVAILABLE,HTTPS://WWW.CIGNA.COM/,1867
-72.80698,41.69301,201,201,250,Stanley Black & Decker,1000 STANLEY DRIVE,NOT AVAILABLE,New Britain,CT,6053,HARTFORD,54023,11407,41.69301,-72.80698,BING MAPS,ADDRESS,9003,NOT AVAILABLE,HTTP://WWW.STANLEYBLACKANDDECKER.COM/,965.3
-72.803224,41.708447,202,202,50,United Technologies,10 FARM SPRINGS ROAD,NOT AVAILABLE,Farmington,CT,6032,HARTFORD,201600,57244,41.708447,-72.803224,MANUAL,ON-ENTITY,9003,NOT AVAILABLE,HTTP://WWW.UTC.COM/PAGES/HOME.ASPX,5055
-72.68879,41.77241,203,203,153,Hartford Financial Services Group,1 HARTFORD PLAZA,NOT AVAILABLE,Hartford,CT,6155,HARTFORD,16900,18300,41.77241,-72.68879,BING MAPS,ADDRESS,9003,NOT AVAILABLE,HTTPS://WWW.THEHARTFORD.COM/BUSINESS-INSURANCE/FINANCIAL-SERVICES,896
-72.69221,41.76776,204,204,43,Aetna,151 FARMINGTON AVENUE,NOT AVAILABLE,Hartford,CT,6156,HARTFORD,49500,63155,41.76776,-72.69221,BING MAPS,ADDRESS,9003,NOT AVAILABLE,HTTPS://WWW.AETNA.COM/,2271
-93.40318,44.89756,205,205,6,Unitedhealth Group,9900 BREN ROAD EAST,NOT AVAILABLE,Minnetonka,MN,55343,HENNEPIN,230000,184840,44.89756,-93.40318,BING MAPS,ADDRESS,27053,NOT AVAILABLE,HTTP://WWW.UNITEDHEALTHGROUP.COM/,7017
-93.41186,44.875,206,206,158,Supervalu,7075 FLYING CLOUD DRIVE,NOT AVAILABLE,Eden Prairie,MN,55344,HENNEPIN,38000,17529,44.875,-93.41186,BING MAPS,ADDRESS,27053,NOT AVAILABLE,HTTPS://WWW.SUPERVALU.COM/,178
-93.46055,44.82112,207,207,212,C.H. Robinson Worldwide,14701 CHARLSON ROAD,NOT AVAILABLE,Eden Prairie,MN,55347,HENNEPIN,14125,13144,44.82112,-93.46055,BING MAPS,ADDRESS,27053,NOT AVAILABLE,HTTPS://WWW.CHROBINSON.COM/EN-US/,513.4
-93.27008,44.97975,208,208,256,Xcel Energy,414 NICOLLET MALL,NOT AVAILABLE,Minneapolis,MN,55401,HENNEPIN,11476,11107,44.97975,-93.27008,BING MAPS,ADDRESS,27053,NOT AVAILABLE,HTTPS://WWW.XCELENERGY.COM/STATESELECTOR?STATESELECTED=TRUE&GOTO=%2F,1123.4
-93.27387,44.97559,209,209,125,U.S. Bancorp,800 NICOLLET MALL,SUITE 1500,Minneapolis,MN,55402,HENNEPIN,71191,22744,44.97559,-93.27387,BING MAPS,ADDRESS,27053,NOT AVAILABLE,HTTPS://WWW.USBANK.COM/INDEX.HTML,5888
-93.27563,44.97396,210,210,38,Target,1000 NICOLLET MALL,NOT AVAILABLE,Minneapolis,MN,55403,HENNEPIN,323000,69495,44.97396,-93.27563,BING MAPS,ADDRESS,27053,NOT AVAILABLE,HTTPS://WWW.TARGET.COM/,2737
-93.26568,44.97476,211,211,316,Thrivent Financial For Lutherans,625 4TH AVENUE SOUTH,NOT AVAILABLE,Minneapolis,MN,55415,HENNEPIN,3282,8777,44.97476,-93.26568,BING MAPS,ADDRESS,27053,NOT AVAILABLE,HTTPS://WWW.THRIVENT.COM/,587.8
-93.30542,44.86392,212,212,72,Best Buy,7601 PENN AVENUE SOUTH,NOT AVAILABLE,Richfield,MN,55423,HENNEPIN,125000,39403,44.86392,-93.30542,BING MAPS,ADDRESS,27053,NOT AVAILABLE,HTTPS://WWW.BESTBUY.COM/,1228
-93.39559,44.977,213,213,165,General Mills,1 GENERAL MILLS BOULEVARD,NOT AVAILABLE,Minneapolis,MN,55426,HENNEPIN,39000,16563,44.977,-93.39559,BING MAPS,ADDRESS,27053,NOT AVAILABLE,HTTPS://WWW.GENERALMILLS.COM/,1697.4
-93.45487,45.01507,214,214,377,Mosaic,3033 CAMPUS DRIVE,SUITE E490,Plymouth,MN,55441,HENNEPIN,8700,7163,45.01507,-93.45487,BING MAPS,ADDRESS,27053,NOT AVAILABLE,HTTP://WWW.MOSAICCO.COM/,297.8
-77.57726,37.66219,215,215,460,Markel,4521 HIGHWOODS PARKWAY,NOT AVAILABLE,Glen Allen,VA,23060,HENRICO,10900,5612,37.66219,-77.57726,BING MAPS,ADDRESS,51087,NOT AVAILABLE,HTTP://WWW.MARKELCORP.COM/,455.7
-77.64471,37.60589,216,216,171,Performance Food Group,12500 WEST CREEK PARKWAY,NOT AVAILABLE,Richmond,VA,23238,HENRICO,13000,16105,37.60589,-77.64471,BING MAPS,ADDRESS,51087,NOT AVAILABLE,HTTP://WWW.PFGC.COM/,68.3
-77.51729,37.60024,217,217,148,Altria Group,6601 WEST BROAD STREET,NOT AVAILABLE,Richmond,VA,23230,HENRICO,8300,19337,37.60024,-77.51729,BING MAPS,ADDRESS,51087,NOT AVAILABLE,HTTP://WWW.ALTRIA.COM/PAGES/DEFAULT.ASPX,14239
-77.51499,37.60245,218,218,329,Genworth Financial,6620 WEST BROAD STREET,NOT AVAILABLE,Richmond,VA,23230,HENRICO,3400,8369,37.60245,-77.51499,BING MAPS,ADDRESS,51087,NOT AVAILABLE,HTTPS://WWW.GENWORTH.COM/,-277
-82.54968,28.03336,219,219,195,Wellcare Health Plans,8725 HENDERSON ROAD,NOT AVAILABLE,Tampa,FL,33634,HILLSBOROUGH,7400,14237,28.03336,-82.54968,BING MAPS,ADDRESS,12057,NOT AVAILABLE,HTTPS://WWW.WELLCARE.COM/EN/DISTRICT-OF-COLUMBIA,242.1
-74.272687,40.677334,220,220,69,Merck,2000 GALLOPING HILL ROAD,NOT AVAILABLE,Kenilworth,NJ,7033,UNION,68000,39807,40.677334,-74.272687,MANUAL,ON-ENTITY,34019,NOT AVAILABLE,HTTP://WWW.MERCK.COM/INDEX.HTML,3920
-80.85421,35.54119,221,221,40,Lowe'S,1000 LOWE'S BOULEVARD,NOT AVAILABLE,Mooresville,NC,28117,IREDELL,240000,65017,35.54119,-80.85421,BING MAPS,ADDRESS,37097,NOT AVAILABLE,HTTPS://WWW.LOWES.COM/,3093
-84.40253,42.2466,222,222,419,Cms Energy,1 ENERGY PLAZA,NOT AVAILABLE,Jackson,MI,49201,JACKSON,7750,6399,42.2466,-84.40253,BING MAPS,ADDRESS,26075,NOT AVAILABLE,HTTPS://WWW.CMSENERGY.COM/HOME/DEFAULT.ASPX,551
-122.87228,42.32845,223,223,318,Lithia Motors,150 NORTH BARTLETT STREET,NOT AVAILABLE,Medford,OR,97501,JACKSON,11170,8678,42.32845,-122.87228,BING MAPS,ADDRESS,41029,NOT AVAILABLE,HTTPS://WWW.LITHIAMOTORS.COM/,197.1
